,sizes,params,time,train_acc,test_acc,history
Узкие,"[64, 32, 16]",199450,227.91547751426697,67.254,51.480000000000004,"{'train_losses': [1.7428914247571354, 1.5203046798706055, 1.4327315095135622, 1.3756943861846729, 1.326675619005852, 1.2886263113802352, 1.2588392517450826, 1.2315040954848384, 1.2034414111805694, 1.1808705502153967, 1.1604433725861942, 1.1421128331547807, 1.125506577589323, 1.105846558690376, 1.0900341851632003, 1.0727973139804343, 1.064458323256744, 1.0532964038117159, 1.035327561980928, 1.0211632895042828, 1.0102964125935683, 0.9959518956711225, 0.9859991460809927, 0.9778794364246262, 0.9625408199742017, 0.9545499516265167, 0.9447392790823641, 0.9318647133115002, 0.9271288814447115, 0.9174996173900106], 'train_accs': [0.37794, 0.46448, 0.49544, 0.51658, 0.53422, 0.5447, 0.5557, 0.56654, 0.5745, 0.58216, 0.58934, 0.5953, 0.6026, 0.60804, 0.61338, 0.61788, 0.62248, 0.6257, 0.63028, 0.63606, 0.64002, 0.6451, 0.64772, 0.64964, 0.65812, 0.66056, 0.66122, 0.66636, 0.66816, 0.67254], 'test_losses': [1.588623639903491, 1.4923075950598415, 1.452980387059948, 1.4204099902623817, 1.4195095255405088, 1.4165585825714884, 1.4108719508859175, 1.4089750670179535, 1.4018801873243307, 1.4333971814264226, 1.4221799901769132, 1.4383069714413415, 1.4178182988227168, 1.4298732748514489, 1.4433053716828552, 1.44217506088788, 1.4614205994183505, 1.4683666410325449, 1.4657123722607577, 1.4872245788574219, 1.4813016094738924, 1.4844955794418915, 1.5112273391289046, 1.5125686066060127, 1.5282096153573146, 1.5213968889622749, 1.5672865140287182, 1.57970262026485, 1.5858035283752634, 1.611156948005097], 'test_accs': [0.438, 0.4755, 0.4895, 0.4991, 0.5015, 0.5018, 0.5046, 0.5062, 0.5089, 0.5038, 0.5066, 0.5061, 0.5089, 0.5081, 0.5072, 0.5148, 0.51, 0.506, 0.5084, 0.5053, 0.5128, 0.5091, 0.5091, 0.5104, 0.5018, 0.5065, 0.5009, 0.5024, 0.495, 0.4982], 'time': 227.91547751426697}"
Средние,"[256, 128, 64]",828490,392.83017659187317,89.462,54.14,"{'train_losses': [1.6449088047227591, 1.4298191899838655, 1.3206401910928205, 1.2336645662937018, 1.1626454867670297, 1.0949541760222685, 1.031878038745402, 0.9746795563441714, 0.9162829509171684, 0.8652694365557503, 0.8218616141992456, 0.7686807783058537, 0.7267059971914267, 0.6778635904002372, 0.6440467510534369, 0.6038597185745873, 0.5726555021065275, 0.5382375279274743, 0.5123442479259218, 0.47464305238650584, 0.4604087879743113, 0.4328342777917452, 0.40948815910560094, 0.39389235253834054, 0.3695964366197586, 0.3488284502645283, 0.34045924025270946, 0.3324846215641407, 0.31556735357360155, 0.29277692662785426], 'train_accs': [0.41468, 0.49324, 0.53354, 0.56514, 0.5891, 0.61118, 0.63406, 0.65466, 0.67498, 0.69152, 0.7079, 0.72616, 0.74088, 0.75884, 0.77012, 0.78668, 0.79374, 0.80812, 0.81552, 0.83022, 0.83558, 0.84512, 0.8524, 0.8598, 0.86862, 0.87562, 0.87724, 0.88306, 0.88816, 0.89462], 'test_losses': [1.4983349963079524, 1.4302382469177246, 1.4031689770614044, 1.3383768600753592, 1.338526123686682, 1.3410494916046722, 1.3502843198896963, 1.3564053064660182, 1.3955359866347494, 1.4828848371022865, 1.4587026457243328, 1.5109239439421063, 1.5978442173969896, 1.6470429067370258, 1.6653771641888195, 1.7420622306534006, 1.8583728588080104, 1.934677792500846, 2.009674980670591, 2.0804952186874197, 2.1303574872922293, 2.186035221136069, 2.2856106411052655, 2.3097957583922373, 2.4790134399752075, 2.480125285402129, 2.6553022876570496, 2.610017845902262, 2.720289141316957, 2.8144667390026625], 'test_accs': [0.4682, 0.498, 0.5052, 0.5338, 0.5291, 0.536, 0.5409, 0.5414, 0.5409, 0.536, 0.5398, 0.5374, 0.5263, 0.5249, 0.5359, 0.5368, 0.5257, 0.5287, 0.5262, 0.5271, 0.5259, 0.527, 0.5182, 0.5112, 0.5218, 0.5194, 0.5156, 0.5246, 0.5142, 0.5192], 'time': 392.83017659187317}"
Широкие,"[1024, 512, 256]",3805450,507.29100584983826,92.622,54.44,"{'train_losses': [1.6579024343539381, 1.4357619962423964, 1.3143071603896979, 1.2225529844193812, 1.1405835688266608, 1.0596439798774622, 0.9822273914466428, 0.9091885676774223, 0.8289566431813837, 0.7560640505665098, 0.6885100920182055, 0.6369416683988498, 0.5765372158011512, 0.5367845199297151, 0.4867569897180933, 0.4445132269807484, 0.4123818144164122, 0.3918596466102868, 0.37013043482285324, 0.3344502772592827, 0.32602654911977863, 0.3096168646422189, 0.28857115452246895, 0.2813957943140393, 0.275084970133079, 0.2586346969313329, 0.24811573724841218, 0.23241492677146516, 0.23287536106679751, 0.215124216245111], 'train_accs': [0.4096, 0.49602, 0.53644, 0.56662, 0.59736, 0.62686, 0.65204, 0.67658, 0.70478, 0.73, 0.75574, 0.77224, 0.79356, 0.81114, 0.8281, 0.84246, 0.85468, 0.8619, 0.87032, 0.88196, 0.88676, 0.89022, 0.9001, 0.90272, 0.90324, 0.91082, 0.91316, 0.9193, 0.91908, 0.92622], 'test_losses': [1.5354105400133737, 1.4197025374521184, 1.4025891355321378, 1.3734892214400858, 1.379382814033122, 1.3765923735461658, 1.4192444191703313, 1.4276118429401252, 1.4810900190208531, 1.5447412382198284, 1.6687794078754474, 1.6824204665196092, 1.7978265949442416, 1.911214166049716, 1.9075284879418868, 2.0805859882620314, 2.2051147252698486, 2.306840818139571, 2.2878089403804345, 2.5173359249211567, 2.4833833477165124, 2.487832596030416, 2.6284503197368188, 2.7553286356262015, 2.8360630092741568, 2.788103951683527, 2.9356949736800373, 2.931669808641265, 2.9553616952292527, 2.912284043770802], 'test_accs': [0.462, 0.5044, 0.5103, 0.5234, 0.5264, 0.5364, 0.5398, 0.5444, 0.5438, 0.5423, 0.5376, 0.5407, 0.5408, 0.5277, 0.539, 0.5361, 0.5342, 0.5382, 0.538, 0.5316, 0.5352, 0.534, 0.5406, 0.5211, 0.5352, 0.5343, 0.5409, 0.5394, 0.5227, 0.5298], 'time': 507.29100584983826}"
Очень широкие,"[2048, 1024, 512]",8921610,5108.1836478710175,90.74799999999999,53.98,"{'train_losses': [1.6829245627078864, 1.466508945540699, 1.3543171099079845, 1.258110920791431, 1.1784822446915804, 1.0966989698312473, 1.0224339228761776, 0.9492740362806393, 0.8785582001861709, 0.810448763315635, 0.7466320351261617, 0.6926303520379469, 0.632041434650226, 0.5879000332349401, 0.5442942124803353, 0.516263108576655, 0.47998572760225866, 0.46019700680242476, 0.4169850203844592, 0.41201102455406236, 0.3801328132448294, 0.3677588764892515, 0.3456025683437772, 0.34661657643287686, 0.33046405733851214, 0.30168555307266354, 0.3117159613982186, 0.2885770779436507, 0.2945759756409604, 0.27068700370809917], 'train_accs': [0.40028, 0.4862, 0.52296, 0.55804, 0.58252, 0.61176, 0.64062, 0.66442, 0.69072, 0.71344, 0.73638, 0.75586, 0.77738, 0.79322, 0.80722, 0.81928, 0.83048, 0.84068, 0.85406, 0.8579, 0.86726, 0.87252, 0.87956, 0.8798, 0.88532, 0.89494, 0.89198, 0.90092, 0.89996, 0.90748], 'test_losses': [1.5331455589849738, 1.432099674321428, 1.3997144623647761, 1.406333336347266, 1.3820654893223243, 1.4100859225550784, 1.400281691853004, 1.4338589967051638, 1.5326398445081106, 1.5147298333011097, 1.6073460307302354, 1.644150717348992, 1.7697625718539274, 1.8114407228518137, 1.9777657080300246, 1.923538530929179, 2.1441093245639076, 2.20472643496115, 2.211432103869281, 2.25880180129522, 2.3293034577671485, 2.3936626760265494, 2.497652882262121, 2.4812358542333675, 2.5962310682369183, 2.677552147756649, 2.5596134270293804, 2.825936838041378, 2.7192409732673744, 2.968459342099443], 'test_accs': [0.4629, 0.4958, 0.5018, 0.5134, 0.5253, 0.5277, 0.5374, 0.5333, 0.5226, 0.5379, 0.5326, 0.5398, 0.5301, 0.5322, 0.525, 0.5217, 0.523, 0.531, 0.5288, 0.5304, 0.5321, 0.5333, 0.5165, 0.527, 0.5233, 0.5298, 0.5331, 0.5341, 0.5365, 0.5191], 'time': 5108.1836478710175}"
